epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,22382.7,0.50295,0.99006,0.39907,0.82417,0.9511,0.75815,0.7989,0.76703,0.93955,0.75293,0.79395,0.69483,0.40294,0.74926,0.29303,0.79189,0.004258,0.004258,0.004258
31,23127.1,0.4973,0.98268,0.39419,0.82346,0.95054,0.75898,0.79979,0.76801,0.94015,0.75325,0.79447,0.69558,0.39881,0.7443,0.29027,0.79118,0.00406,0.00406,0.00406
32,23870.4,0.49401,0.98113,0.39109,0.82293,0.94983,0.75947,0.80041,0.76908,0.93698,0.75376,0.7947,0.69592,0.39489,0.73979,0.2874,0.79054,0.003862,0.003862,0.003862
33,24613.7,0.49031,0.97497,0.3888,0.82218,0.95091,0.75992,0.80118,0.77016,0.93649,0.75426,0.79549,0.69675,0.39096,0.73529,0.28503,0.7899,0.003664,0.003664,0.003664
34,25357.8,0.48618,0.97501,0.38191,0.82032,0.94958,0.76066,0.80203,0.77115,0.93546,0.75475,0.79624,0.69753,0.38737,0.73108,0.28271,0.78932,0.003466,0.003466,0.003466
35,26100.5,0.47846,0.96016,0.37647,0.81975,0.94879,0.76145,0.80296,0.7722,0.93365,0.7553,0.79702,0.69833,0.38385,0.72683,0.28025,0.78875,0.003268,0.003268,0.003268
36,26844.5,0.47506,0.95732,0.37224,0.81884,0.94816,0.76194,0.8036,0.77314,0.93212,0.75582,0.79747,0.69869,0.38034,0.72282,0.27808,0.78819,0.00307,0.00307,0.00307
37,27589,0.47265,0.95812,0.37026,0.81789,0.94757,0.76271,0.80432,0.77397,0.93057,0.75654,0.79788,0.69918,0.37681,0.71836,0.27612,0.78762,0.002872,0.002872,0.002872
38,28332.3,0.46736,0.94926,0.36385,0.81764,0.9482,0.7633,0.80489,0.77482,0.93017,0.75686,0.7982,0.69998,0.37339,0.71435,0.27431,0.78709,0.002674,0.002674,0.002674
39,29075,0.4602,0.93577,0.35632,0.8161,0.9476,0.76382,0.80565,0.77563,0.92883,0.75723,0.79871,0.70077,0.37031,0.71021,0.2721,0.7866,0.002476,0.002476,0.002476
