epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,22409.6,0.52833,1.00967,0.41625,0.82935,0.95033,0.75488,0.7969,0.76336,0.94197,0.74982,0.79176,0.6927,0.42673,0.78359,0.30733,0.79497,0.004258,0.004258,0.004258
31,23156.3,0.52317,1.00439,0.41085,0.82899,0.95183,0.75539,0.79781,0.76458,0.94436,0.75018,0.79259,0.69354,0.42227,0.77848,0.30391,0.79428,0.00406,0.00406,0.00406
32,23903.3,0.51884,1.00249,0.40766,0.82736,0.95303,0.75582,0.79826,0.76545,0.94353,0.75056,0.7928,0.69408,0.41861,0.77392,0.30075,0.79358,0.003862,0.003862,0.003862
33,24650,0.51471,0.99749,0.40265,0.82737,0.95318,0.75644,0.79897,0.76638,0.94239,0.75109,0.79336,0.69497,0.41422,0.76922,0.2974,0.79287,0.003664,0.003664,0.003664
34,25395,0.5091,0.98996,0.39848,0.82516,0.95364,0.75699,0.79947,0.76732,0.94153,0.75128,0.79369,0.69551,0.41028,0.76493,0.29463,0.79218,0.003466,0.003466,0.003466
35,26141.4,0.5029,0.97826,0.39089,0.82382,0.95482,0.75736,0.80021,0.76851,0.94057,0.75191,0.79429,0.69648,0.40671,0.76058,0.29223,0.79153,0.003268,0.003268,0.003268
36,26888.6,0.49992,0.97641,0.38732,0.82338,0.95483,0.75783,0.80098,0.76947,0.94144,0.75201,0.79459,0.69688,0.40283,0.75673,0.28992,0.79088,0.00307,0.00307,0.00307
37,27635.8,0.49811,0.97984,0.38499,0.82267,0.95464,0.75836,0.80156,0.77032,0.94119,0.75249,0.79519,0.69749,0.39917,0.75235,0.28768,0.79023,0.002872,0.002872,0.002872
38,28381.4,0.49267,0.969,0.38024,0.82218,0.95629,0.75842,0.80227,0.77116,0.93977,0.75308,0.79589,0.69824,0.39573,0.74854,0.28542,0.78966,0.002674,0.002674,0.002674
39,29125.9,0.48478,0.95776,0.37215,0.82032,0.95497,0.75919,0.80277,0.77199,0.94064,0.75312,0.79623,0.69878,0.39227,0.74446,0.2833,0.78908,0.002476,0.002476,0.002476
40,29871.4,0.47931,0.95324,0.36589,0.81993,0.95478,0.75959,0.80328,0.77278,0.93944,0.75346,0.79648,0.6992,0.38884,0.74054,0.28134,0.78853,0.002278,0.002278,0.002278
41,30614.4,0.43288,0.91814,0.31082,0.79576,0.95471,0.76004,0.80369,0.77362,0.93811,0.75395,0.79692,0.69959,0.38518,0.7355,0.27895,0.78791,0.00208,0.00208,0.00208
42,31354.6,0.42332,0.90521,0.30305,0.79414,0.95489,0.76055,0.8041,0.77427,0.94039,0.7541,0.79744,0.70021,0.38092,0.73031,0.2763,0.78728,0.001882,0.001882,0.001882
43,32098.9,0.41506,0.89679,0.29576,0.7925,0.95388,0.76119,0.80484,0.77519,0.93926,0.75457,0.79799,0.70115,0.37646,0.72483,0.27363,0.78659,0.001684,0.001684,0.001684
44,32842.2,0.4072,0.88331,0.28797,0.79091,0.95424,0.76176,0.80568,0.77622,0.93823,0.75466,0.79861,0.70186,0.37236,0.71927,0.27076,0.78596,0.001486,0.001486,0.001486
45,33587.7,0.39897,0.87104,0.2823,0.78906,0.95378,0.76236,0.80624,0.77709,0.93571,0.75526,0.79907,0.70241,0.36824,0.71399,0.26771,0.78529,0.001288,0.001288,0.001288
46,34332,0.3921,0.86584,0.27504,0.78723,0.95384,0.76278,0.80696,0.77792,0.9352,0.75577,0.79962,0.70312,0.36442,0.70891,0.26475,0.78469,0.00109,0.00109,0.00109
47,35076.4,0.38489,0.85776,0.26878,0.78712,0.95361,0.76338,0.80748,0.77881,0.93377,0.75628,0.79995,0.7036,0.36082,0.70392,0.26183,0.78409,0.000892,0.000892,0.000892
48,35820.5,0.37686,0.84625,0.26251,0.78473,0.95203,0.76387,0.80818,0.77966,0.93256,0.75681,0.80041,0.70422,0.3574,0.69927,0.2584,0.78351,0.000694,0.000694,0.000694
49,36565.6,0.36923,0.83433,0.25663,0.78351,0.94989,0.76478,0.80874,0.78026,0.92967,0.75718,0.80073,0.70464,0.35435,0.69476,0.25543,0.78293,0.000496,0.000496,0.000496
50,37310.1,0.36146,0.83029,0.24989,0.78309,0.94868,0.76528,0.80924,0.78082,0.92888,0.75755,0.80117,0.70501,0.35128,0.69019,0.25215,0.78238,0.000298,0.000298,0.000298
