epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,68020.4,0.5771,1.08561,0.47531,0.83991,0.94597,0.75275,0.79195,0.75699,0.9407,0.74843,0.78816,0.68739,0.43559,0.81213,0.31061,0.79856,0.0094258,0.0094258,0.0094258
31,71604.6,0.57571,1.08521,0.47431,0.84033,0.94884,0.75295,0.79205,0.75723,0.93996,0.74903,0.78806,0.68753,0.43289,0.80857,0.30837,0.79803,0.009406,0.009406,0.009406
32,75121.3,0.57144,1.07588,0.471,0.83922,0.9501,0.75313,0.79225,0.75768,0.94118,0.7492,0.78818,0.68788,0.43056,0.80521,0.3062,0.79755,0.0093862,0.0093862,0.0093862
33,78596,0.57428,1.08356,0.47325,0.83975,0.95071,0.75341,0.79264,0.75819,0.94057,0.74936,0.78837,0.68838,0.428,0.80143,0.30429,0.79706,0.0093664,0.0093664,0.0093664
34,82112.2,0.56965,1.06923,0.4708,0.8392,0.95173,0.75399,0.79301,0.75869,0.93934,0.75016,0.7886,0.68869,0.42546,0.79795,0.30233,0.79662,0.0093466,0.0093466,0.0093466
35,85541.5,0.56992,1.07576,0.46981,0.83876,0.95331,0.75434,0.79326,0.75909,0.94002,0.75033,0.78875,0.6888,0.42345,0.79473,0.30053,0.79618,0.0093268,0.0093268,0.0093268
36,89003.1,0.56866,1.07549,0.46663,0.83875,0.95345,0.75452,0.79344,0.75947,0.94116,0.75066,0.78916,0.68919,0.42143,0.79199,0.29907,0.79578,0.009307,0.009307,0.009307
37,92211.8,0.5649,1.065,0.46365,0.83798,0.95238,0.75502,0.79362,0.75981,0.94062,0.75107,0.78925,0.68936,0.41948,0.78935,0.29779,0.7954,0.0092872,0.0092872,0.0092872
38,95529.5,0.56485,1.06351,0.46426,0.83788,0.95334,0.75521,0.79391,0.76031,0.94229,0.7507,0.78927,0.68959,0.41729,0.78728,0.29632,0.79502,0.0092674,0.0092674,0.0092674
39,99019.9,0.56536,1.06462,0.46437,0.83859,0.95498,0.75515,0.79418,0.76076,0.94484,0.75051,0.78939,0.68964,0.41536,0.78494,0.29532,0.79473,0.0092476,0.0092476,0.0092476
