epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,20037.9,0.53955,1.05239,0.45269,0.82844,0.94722,0.759,0.79563,0.76444,0.93025,0.75471,0.79074,0.69102,0.39348,0.76264,0.28891,0.79126,0.0094258,0.0094258,0.0094258
31,20712.1,0.53757,1.04665,0.45356,0.82857,0.948,0.75934,0.7961,0.76482,0.93098,0.75469,0.79108,0.6915,0.39125,0.75931,0.28686,0.79083,0.009406,0.009406,0.009406
32,21373.8,0.53294,1.04023,0.44834,0.82751,0.94882,0.75965,0.79668,0.76547,0.92957,0.75539,0.79142,0.69195,0.3889,0.75627,0.28511,0.79041,0.0093862,0.0093862,0.0093862
33,22048.8,0.53276,1.04015,0.44719,0.82749,0.94906,0.76004,0.79717,0.76608,0.93334,0.75471,0.79175,0.69213,0.38687,0.75346,0.28363,0.79003,0.0093664,0.0093664,0.0093664
34,22711.5,0.53176,1.03224,0.44503,0.82745,0.95035,0.76004,0.79741,0.76658,0.93248,0.7551,0.79196,0.69242,0.38486,0.75083,0.28255,0.7897,0.0093466,0.0093466,0.0093466
35,23381.3,0.53065,1.03491,0.44584,0.82693,0.95013,0.76053,0.79766,0.76688,0.9348,0.75464,0.7919,0.69265,0.38306,0.74788,0.2815,0.78931,0.0093268,0.0093268,0.0093268
36,24038.8,0.53141,1.03911,0.44537,0.82719,0.94834,0.76104,0.79799,0.76726,0.93336,0.75512,0.79214,0.6929,0.38148,0.74533,0.28106,0.78901,0.009307,0.009307,0.009307
37,24712.4,0.52903,1.03115,0.44345,0.82713,0.95017,0.76091,0.79814,0.76746,0.93368,0.75521,0.79217,0.69297,0.37998,0.74351,0.28059,0.78876,0.0092872,0.0092872,0.0092872
38,25374.4,0.52704,1.02755,0.44174,0.82693,0.94934,0.76153,0.79857,0.76781,0.93221,0.75554,0.79225,0.693,0.37856,0.7412,0.27983,0.78859,0.0092674,0.0092674,0.0092674
39,26050.3,0.52676,1.02632,0.4415,0.8271,0.94905,0.76174,0.79876,0.7681,0.93157,0.7559,0.79247,0.6933,0.37701,0.73928,0.27907,0.78837,0.0092476,0.0092476,0.0092476
40,26715.5,0.52497,1.02545,0.43968,0.82726,0.94933,0.76206,0.7991,0.76846,0.931,0.75656,0.79292,0.69358,0.37504,0.73674,0.27793,0.78802,0.0092278,0.0092278,0.0092278
41,27402.3,0.52487,1.02662,0.43863,0.8262,0.94871,0.76256,0.79927,0.76879,0.93023,0.75668,0.79275,0.69369,0.37359,0.73503,0.27687,0.78778,0.009208,0.009208,0.009208
42,28065.5,0.52255,1.02277,0.43623,0.82587,0.94956,0.76263,0.79933,0.76912,0.92992,0.75662,0.79277,0.69392,0.37219,0.73314,0.27518,0.78758,0.0091882,0.0091882,0.0091882
43,28738.8,0.52485,1.0287,0.43696,0.82662,0.95021,0.7626,0.79938,0.76927,0.93436,0.75615,0.7929,0.69413,0.37088,0.73141,0.27421,0.78743,0.0091684,0.0091684,0.0091684
44,29403.2,0.52211,1.01974,0.43488,0.82659,0.94858,0.76309,0.79959,0.76948,0.93379,0.75638,0.79306,0.69419,0.37,0.73002,0.27294,0.78726,0.0091486,0.0091486,0.0091486
45,30082.2,0.52081,1.01935,0.43607,0.8264,0.94852,0.76354,0.79975,0.76957,0.93372,0.75665,0.79311,0.69402,0.36927,0.72854,0.27156,0.78716,0.0091288,0.0091288,0.0091288
46,30744.3,0.52231,1.0222,0.43496,0.8256,0.94732,0.76375,0.7998,0.76973,0.93109,0.75683,0.79297,0.69406,0.36831,0.72702,0.26988,0.78704,0.009109,0.009109,0.009109
47,31427.8,0.51898,1.01544,0.43029,0.82565,0.94515,0.76411,0.79997,0.77002,0.93023,0.75718,0.79305,0.69423,0.36695,0.72589,0.26865,0.78692,0.0090892,0.0090892,0.0090892
48,32089.2,0.51814,1.0151,0.43217,0.82558,0.94482,0.76432,0.8,0.77002,0.93217,0.75708,0.79325,0.69428,0.36588,0.72418,0.26764,0.78678,0.0090694,0.0090694,0.0090694
49,32767.7,0.52026,1.02297,0.43161,0.82618,0.94409,0.76458,0.80007,0.77013,0.92981,0.75733,0.7931,0.69436,0.36481,0.72256,0.26674,0.78667,0.0090496,0.0090496,0.0090496
50,33433.7,0.51727,1.01336,0.43093,0.82498,0.94504,0.76472,0.80022,0.77017,0.92964,0.75755,0.79318,0.69477,0.3639,0.72115,0.26604,0.78653,0.0090298,0.0090298,0.0090298
51,34111,0.51698,1.01233,0.4283,0.82503,0.945,0.76494,0.80046,0.77035,0.93,0.75742,0.79322,0.69487,0.36299,0.71962,0.26521,0.78647,0.00901,0.00901,0.00901
52,34773.4,0.51461,1.01176,0.43021,0.82541,0.94471,0.76496,0.80037,0.77034,0.92982,0.7574,0.79332,0.69497,0.36249,0.71795,0.26468,0.78638,0.0089902,0.0089902,0.0089902
53,35448.6,0.51694,1.02003,0.4291,0.82536,0.94536,0.76508,0.80034,0.77034,0.92791,0.75787,0.79309,0.69506,0.3619,0.71676,0.26412,0.78631,0.0089704,0.0089704,0.0089704
54,36109.6,0.51646,1.01303,0.42826,0.82558,0.94582,0.7651,0.80032,0.77031,0.92758,0.75784,0.79299,0.69466,0.36123,0.71577,0.26313,0.78616,0.0089506,0.0089506,0.0089506
55,36780.1,0.51392,1.00663,0.42735,0.82442,0.94529,0.76514,0.80041,0.77037,0.92682,0.75822,0.79314,0.6948,0.36001,0.71465,0.26238,0.78599,0.0089308,0.0089308,0.0089308
56,37444.9,0.51432,1.01216,0.42752,0.82485,0.94475,0.76531,0.8004,0.77042,0.92448,0.75863,0.793,0.69453,0.35936,0.71349,0.26187,0.78592,0.008911,0.008911,0.008911
57,38129.6,0.51711,1.01668,0.42885,0.82548,0.94396,0.76561,0.8004,0.77046,0.92394,0.75865,0.79283,0.69441,0.35866,0.71254,0.26126,0.78591,0.0088912,0.0088912,0.0088912
58,38790.8,0.51303,1.01174,0.4259,0.82456,0.94423,0.76571,0.80059,0.77072,0.92425,0.7587,0.79309,0.69448,0.35821,0.7118,0.26089,0.78597,0.0088714,0.0088714,0.0088714
59,39466,0.51136,1.00392,0.42533,0.82471,0.94418,0.76577,0.80082,0.77094,0.92329,0.75865,0.7931,0.69484,0.35773,0.71056,0.26031,0.78591,0.0088516,0.0088516,0.0088516
60,40125.7,0.51195,1.00714,0.42676,0.8241,0.94493,0.76597,0.80106,0.77088,0.92411,0.75883,0.79331,0.69509,0.35707,0.70942,0.25966,0.78583,0.0088318,0.0088318,0.0088318
61,40811.5,0.5102,1.00285,0.42128,0.82409,0.94591,0.76606,0.80136,0.77109,0.9253,0.75884,0.79363,0.69523,0.35655,0.70868,0.25885,0.78577,0.008812,0.008812,0.008812
62,41478.6,0.51269,1.01181,0.4247,0.82416,0.94677,0.76618,0.80184,0.77171,0.92423,0.75894,0.79381,0.69573,0.35565,0.70785,0.25796,0.78562,0.0087922,0.0087922,0.0087922
63,42154.1,0.51487,1.01201,0.4258,0.82476,0.94733,0.76631,0.80188,0.77188,0.92301,0.75916,0.79374,0.69559,0.35503,0.70719,0.25733,0.78555,0.0087724,0.0087724,0.0087724
64,42809.3,0.51332,1.01354,0.42543,0.82455,0.94629,0.76638,0.802,0.77184,0.92313,0.75922,0.79381,0.69555,0.3546,0.70619,0.25692,0.78555,0.0087526,0.0087526,0.0087526
65,43475.2,0.51085,1.00626,0.4213,0.82467,0.94651,0.7665,0.80222,0.77189,0.92289,0.75918,0.79387,0.69541,0.35452,0.70565,0.25595,0.7855,0.0087328,0.0087328,0.0087328
66,44132.2,0.50884,1.00392,0.42002,0.82492,0.94688,0.76655,0.80245,0.7722,0.92432,0.75881,0.79394,0.69528,0.3541,0.70475,0.25537,0.7854,0.008713,0.008713,0.008713
67,44803.4,0.51048,1.00653,0.42051,0.8242,0.94721,0.76645,0.80278,0.77258,0.92564,0.75888,0.79441,0.6956,0.35336,0.70361,0.25461,0.78532,0.0086932,0.0086932,0.0086932
68,45457.8,0.50778,1.00395,0.42082,0.82323,0.94756,0.7666,0.80314,0.77281,0.92464,0.75902,0.79461,0.69607,0.35269,0.7023,0.25411,0.78522,0.0086734,0.0086734,0.0086734
69,46135.4,0.50753,1.00466,0.42039,0.82327,0.94724,0.76662,0.80309,0.77286,0.92639,0.75873,0.79427,0.69587,0.35194,0.70145,0.2533,0.7851,0.0086536,0.0086536,0.0086536
70,46790.4,0.50352,0.99549,0.41676,0.82246,0.9472,0.76672,0.80326,0.7731,0.92594,0.75887,0.79451,0.69621,0.35116,0.70009,0.25302,0.78493,0.0086338,0.0086338,0.0086338
71,47467.4,0.50664,1.00642,0.41835,0.82285,0.94661,0.76706,0.80329,0.77307,0.9263,0.75864,0.79452,0.69611,0.35053,0.69967,0.25431,0.7848,0.008614,0.008614,0.008614
72,48132,0.50457,1.00117,0.41322,0.82147,0.94559,0.7673,0.8037,0.77315,0.92386,0.75917,0.79496,0.69646,0.35012,0.69896,0.25673,0.78473,0.0085942,0.0085942,0.0085942
73,48797.6,0.50402,1.00082,0.41401,0.82257,0.93353,0.7689,0.80401,0.77317,0.91367,0.76102,0.79513,0.69658,0.34965,0.69877,0.2608,0.78454,0.0085744,0.0085744,0.0085744
74,49457.5,0.50243,1.00302,0.41246,0.82154,0.9301,0.76461,0.80399,0.77294,0.90744,0.75786,0.79506,0.69626,0.34879,0.69845,0.2662,0.78427,0.0085546,0.0085546,0.0085546
75,50138.9,0.50453,1.00159,0.41629,0.82222,0.92569,0.76501,0.80427,0.77316,0.90479,0.75771,0.79522,0.69625,0.34825,0.69781,0.2663,0.78375,0.0085348,0.0085348,0.0085348
76,50805.8,0.50034,0.99332,0.41241,0.82082,0.93249,0.76806,0.8044,0.77382,0.91224,0.76014,0.79538,0.69646,0.34741,0.69713,0.26184,0.78343,0.008515,0.008515,0.008515
77,51481.9,0.50193,0.99896,0.41163,0.82192,0.94475,0.768,0.8047,0.77399,0.92218,0.75962,0.79533,0.69631,0.34641,0.6962,0.25757,0.78327,0.0084952,0.0084952,0.0084952
78,52139.5,0.50082,0.99716,0.41024,0.82151,0.94715,0.76773,0.80485,0.77442,0.92413,0.75942,0.79559,0.69682,0.34558,0.69551,0.25384,0.7831,0.0084754,0.0084754,0.0084754
79,52815.2,0.50116,0.99501,0.41293,0.82166,0.94811,0.76763,0.80479,0.77444,0.92338,0.75961,0.79562,0.69694,0.34495,0.69494,0.25146,0.78302,0.0084556,0.0084556,0.0084556
80,53477.6,0.50111,0.99252,0.4099,0.82226,0.94681,0.76801,0.8049,0.77456,0.92335,0.7595,0.79559,0.69709,0.34454,0.69433,0.24944,0.78295,0.0084358,0.0084358,0.0084358
81,54151.5,0.50052,0.99843,0.41098,0.82279,0.94762,0.76805,0.80484,0.77459,0.92409,0.75942,0.79555,0.69709,0.34408,0.69341,0.24821,0.78286,0.008416,0.008416,0.008416
82,54815,0.50138,0.99697,0.41121,0.82166,0.94802,0.76796,0.80479,0.77474,0.92547,0.75915,0.79548,0.69704,0.34359,0.69235,0.24708,0.78282,0.0083962,0.0083962,0.0083962
83,55485.8,0.49843,0.9892,0.40927,0.82102,0.94791,0.76807,0.80478,0.77461,0.9243,0.75934,0.79542,0.69667,0.34381,0.69163,0.24628,0.78279,0.0083764,0.0083764,0.0083764
84,56153.5,0.4998,0.99726,0.40882,0.82154,0.94763,0.76796,0.80488,0.77482,0.92412,0.7593,0.79551,0.69678,0.34314,0.69114,0.24529,0.78272,0.0083566,0.0083566,0.0083566
